Verify,Finalize,Follow-Up,Session Date,Moved From Facility,Spawning Location,Spawning Location Is Offsite,Spawning Offsite Owner Facility,Spawning Offsite Location Latitude,Spawning Offsite Location Longitude,Spawning Offsite Location Description,Spawning Session Name,Is Import,Is Group Session,Import Custom,Spawning Session Lot #,Cross ID,Spawn ID,Sex,Origin,Origin Expression,Origin Description,Origin Start Date,Origin End Date,Origin Creator,Origin Creation Date,Spawning Ratio,Stock,Stock Agency,Stock Facility,Stock Description,Session Progeny,Brood Year,Spawning Session Comments,Species,Run,Egg Weight(g),Estimated Egg Count,Edit Spawn Cross Notes,Immediate Container,Times Used,Length,Age Calculated,Age Criteria Start Length,Age Criteria End Length,Age Criteria End Date,Age Criteria Start Date,Age Designation,Spawn Status,Living State,Why Not Spawned,Moved From,Moved From Is Offsite,Offsite Moved From Owner Facility,Offsite Moved From Latitude,Offsite Moved From Longitude,Offsite Moved From Location Description,Source Trap Facility,Source Trap,Moved To,Moved To Is Offsite,Offsite Moved To Owner Facility,Offsite Moved To Latitude,Offsite Moved To Longitude,Offsite Moved To Location Description,Moved To Facility,Release Site,Release Site Latitude,Release Site Longitude,Disposition,Purpose,Existing Marks,Existing Marks Quantity,Applied Marks,Applied Marks Quantity,Existing Tags,Applied Tags,Existing CWT,Existing CWT Value,Applied CWT,Applied CWT Value,Existing PIT,Applied PIT,GEN Sample,Samples,Conditions,Notes
FALSE,FALSE,FALSE,9/9/2025 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"9/9/2025 LGH Spawning Room (Lot #29.25.522), 8:00 AM",FALSE,FALSE,NA,29.25.522,29_25_F109_Lookingglass Egg Room/Tray443,29_25_M109,Male,Natural,Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP],Natural,NA,NA,Default,5/17/2017,2 : 2,Imnaha (29H),ODFW,NA,NA,Integrated,BY 2025,NA,Chinook,Spring,NA,4084,NA,Lookingglass Egg Room/Tray443,1,NA,FALSE,NA,NA,NA,NA,Adult,SpawnedKilled,Killed,NA,LGH Imnaha Broodstock Holding,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Imnaha River Weir,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,UNC,1,NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,GEN OtsLOOK25S_0287,NA,NA,NA
FALSE,FALSE,FALSE,9/9/2025 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"9/9/2025 LGH Spawning Room (Lot #29.25.522), 8:00 AM",FALSE,FALSE,NA,29.25.522,29_25_F110_Lookingglass Egg Room/Tray444,29_25_M109,Male,Natural,Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP],Natural,NA,NA,Default,5/17/2017,2 : 2,Imnaha (29H),ODFW,NA,NA,Integrated,BY 2025,NA,Chinook,Spring,NA,4084,NA,Lookingglass Egg Room/Tray444,1,NA,FALSE,NA,NA,NA,NA,Adult,SpawnedKilled,Killed,NA,LGH Imnaha Broodstock Holding,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Imnaha River Weir,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,UNC,1,NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,GEN OtsLOOK25S_0287,NA,NA,NA
FALSE,FALSE,FALSE,9/9/2025 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"9/9/2025 LGH Spawning Room (Lot #29.25.522), 8:00 AM",FALSE,FALSE,NA,29.25.522,29_25_F85_Lookingglass Egg Room/Tray99,29_25_M85,Male,Hatchery,Existing Adipose Clipped [Mark AD]  or Existing Coded Wire Tag [Tag CWT],Hatchery,NA,NA,Default,5/17/2017,2 : 2,Imnaha (29H),ODFW,NA,NA,Integrated,BY 2025,NA,Chinook,Spring,NA,4084,NA,Lookingglass Egg Room/Tray99,1,NA,FALSE,NA,NA,NA,NA,Adult,SpawnedKilled,Killed,NA,LGH Imnaha Broodstock Holding,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Imnaha River Weir,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,AD,1,NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,GEN OtsLOOK25S_0248,NA,NA,NA
FALSE,FALSE,FALSE,9/9/2025 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"9/9/2025 LGH Spawning Room (Lot #29.25.522), 8:00 AM",FALSE,FALSE,NA,29.25.522,29_25_F86_Lookingglass Egg Room/Tray100,29_25_M85,Male,Hatchery,Existing Adipose Clipped [Mark AD]  or Existing Coded Wire Tag [Tag CWT],Hatchery,NA,NA,Default,5/17/2017,2 : 2,Imnaha (29H),ODFW,NA,NA,Integrated,BY 2025,NA,Chinook,Spring,NA,4084,NA,Lookingglass Egg Room/Tray100,1,NA,FALSE,NA,NA,NA,NA,Adult,SpawnedKilled,Killed,NA,LGH Imnaha Broodstock Holding,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Imnaha River Weir,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,AD,1,NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,GEN OtsLOOK25S_0248,NA,NA,NA
FALSE,FALSE,FALSE,9/9/2025 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"9/9/2025 LGH Spawning Room (Lot #29.25.522), 8:00 AM",FALSE,FALSE,NA,29.25.522,29_25_F91_Lookingglass Egg Room/Tray105,29_25_M91,Male,Hatchery,Existing Adipose Clipped [Mark AD]  or Existing Coded Wire Tag [Tag CWT],Hatchery,NA,NA,Default,5/17/2017,2 : 2,Imnaha (29H),ODFW,NA,NA,Integrated,BY 2025,NA,Chinook,Spring,NA,4084,NA,Lookingglass Egg Room/Tray105,1,NA,FALSE,NA,NA,NA,NA,Adult,SpawnedNotKilled,Alive,NA,LGH Imnaha Broodstock Holding,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Imnaha River Weir,LGH Imnaha Broodstock Holding,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Ponded,Brood Stock,AD,1,NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,GEN OtsLOOK25S_0125,NA,NA,NA
FALSE,FALSE,FALSE,9/9/2025 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"9/9/2025 LGH Spawning Room (Lot #29.25.522), 8:00 AM",FALSE,FALSE,NA,29.25.522,29_25_F92_Lookingglass Egg Room/Tray106,29_25_M91,Male,Hatchery,Existing Adipose Clipped [Mark AD]  or Existing Coded Wire Tag [Tag CWT],Hatchery,NA,NA,Default,5/17/2017,2 : 2,Imnaha (29H),ODFW,NA,NA,Integrated,BY 2025,NA,Chinook,Spring,NA,4084,NA,Lookingglass Egg Room/Tray106,1,NA,FALSE,NA,NA,NA,NA,Adult,SpawnedNotKilled,Alive,NA,LGH Imnaha Broodstock Holding,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Imnaha River Weir,LGH Imnaha Broodstock Holding,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Ponded,Brood Stock,AD,1,NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,GEN OtsLOOK25S_0125,NA,NA,NA
FALSE,FALSE,FALSE,9/9/2025 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"9/9/2025 LGH Spawning Room (Lot #29.25.522), 8:00 AM",FALSE,FALSE,NA,29.25.522,29_25_F100_Lookingglass Egg Room/Tray434,29_25_F100,Female,Natural,Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP],Natural,NA,NA,Default,5/17/2017,2 : 2,Imnaha (29H),ODFW,NA,NA,Integrated,BY 2025,NA,Chinook,Spring,NA,4084,NA,Lookingglass Egg Room/Tray434,1,NA,FALSE,NA,NA,NA,NA,Adult,SpawnedKilled,Killed,NA,LGH Imnaha Broodstock Holding,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Imnaha River Weir,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,UNC,1,NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,GEN OtsLOOK25S_0278,NA,NA,NA
FALSE,FALSE,FALSE,9/9/2025 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"9/9/2025 LGH Spawning Room (Lot #29.25.522), 8:00 AM",FALSE,FALSE,NA,29.25.522,29_25_F71_Lookingglass Egg Room/Tray85,29_25_M72,Male,Hatchery,Existing Adipose Clipped [Mark AD]  or Existing Coded Wire Tag [Tag CWT],Hatchery,NA,NA,Default,5/17/2017,2 : 2,Imnaha (29H),ODFW,NA,NA,Integrated,BY 2025,NA,Chinook,Spring,NA,4084,NA,Lookingglass Egg Room/Tray85,1,NA,FALSE,NA,NA,NA,NA,Adult,SpawnedKilled,Killed,NA,LGH Imnaha Broodstock Holding,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Imnaha River Weir,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,AD,1,NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,GEN OtsLOOK25S_0221,NA,NA,NA
FALSE,FALSE,FALSE,9/9/2025 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"9/9/2025 LGH Spawning Room (Lot #29.25.522), 8:00 AM",FALSE,FALSE,NA,29.25.522,29_25_F72_Lookingglass Egg Room/Tray86,29_25_M72,Male,Hatchery,Existing Adipose Clipped [Mark AD]  or Existing Coded Wire Tag [Tag CWT],Hatchery,NA,NA,Default,5/17/2017,2 : 2,Imnaha (29H),ODFW,NA,NA,Integrated,BY 2025,NA,Chinook,Spring,NA,4084,NA,Lookingglass Egg Room/Tray86,1,NA,FALSE,NA,NA,NA,NA,Adult,SpawnedKilled,Killed,NA,LGH Imnaha Broodstock Holding,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Imnaha River Weir,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,AD,1,NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,GEN OtsLOOK25S_0221,NA,NA,NA
FALSE,FALSE,FALSE,9/9/2025 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"9/9/2025 LGH Spawning Room (Lot #29.25.522), 8:00 AM",FALSE,FALSE,NA,29.25.522,29_25_F88_Lookingglass Egg Room/Tray102,29_25_F88,Female,Hatchery,Existing Adipose Clipped [Mark AD]  or Existing Coded Wire Tag [Tag CWT],Hatchery,NA,NA,Default,5/17/2017,2 : 2,Imnaha (29H),ODFW,NA,NA,Integrated,BY 2025,NA,Chinook,Spring,NA,4084,NA,Lookingglass Egg Room/Tray102,1,NA,FALSE,NA,NA,NA,NA,Adult,SpawnedKilled,Killed,NA,LGH Imnaha Broodstock Holding,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,Imnaha River Weir,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,AD,1,NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,GEN OtsLOOK25S_0257,NA,NA,NA
